timestamp,event_type,car_id,floor,passenger_id,direction,load
6.545,hall_call_assigned,C3,4,P00001,,
6.877,hall_call_assigned,C3,8,P00002,,
12.469,hall_call_assigned,C1,4,P00003,,
16.545,board,C3,4,P00001,,1.0
22.08,hall_call_assigned,C3,6,P00004,,
22.469,board,C1,4,P00003,,1.0
27.853,hall_call_assigned,C1,4,P00005,,
31.245,board,C3,8,P00002,,2.0
33.728,hall_call_assigned,C3,3,P00006,,
35.269,alight,C1,1,P00003,,0.0
40.945,board,C3,6,P00004,,3.0
41.653,hall_call_assigned,C1,8,P00007,,
45.845,hall_call_assigned,C2,2,P00008,,
46.769,board,C1,4,P00005,,1.0
50.845,board,C2,2,P00008,,1.0
53.145,board,C3,3,P00006,,4.0
57.156,hall_call_assigned,C1,4,P00009,,
58.645,alight,C2,1,P00008,,0.0
60.249,hall_call_assigned,C3,4,P00010,,
61.469,board,C1,8,P00007,,2.0
65.245,alight,C3,1,P00001,,3.0
65.245,alight,C3,1,P00002,,2.0
65.245,alight,C3,1,P00004,,1.0
65.245,alight,C3,1,P00006,,0.0
68.594,hall_call_assigned,C3,6,P00011,,
71.313,hall_call_assigned,C2,3,P00012,,
76.16900000000001,board,C1,4,P00009,,3.0
76.745,board,C3,4,P00010,,1.0
78.813,board,C2,3,P00012,,1.0
83.849,hall_call_assigned,C3,4,P00013,,
85.771,hall_call_assigned,C2,3,P00014,,
86.44500000000001,board,C3,6,P00011,,2.0
89.113,alight,C2,1,P00012,,0.0
90.16900000000001,alight,C1,1,P00005,,2.0
90.16900000000001,alight,C1,1,P00007,,1.0
90.16900000000001,alight,C1,1,P00009,,0.0
96.282,hall_call_assigned,C3,4,P00015,,
96.14500000000001,board,C3,4,P00013,,3.0
98.113,board,C2,3,P00014,,1.0
99.84500000000001,board,C3,4,P00015,,4.0
108.413,alight,C2,1,P00014,,0.0
112.132,hall_call_assigned,C1,3,P00016,,
114.44500000000002,alight,C3,1,P00010,,3.0
114.44500000000002,alight,C3,1,P00011,,2.0
114.44500000000002,alight,C3,1,P00013,,1.0
114.44500000000002,alight,C3,1,P00015,,0.0
119.632,board,C1,3,P00016,,1.0
129.932,alight,C1,1,P00016,,0.0
131.627,hall_call_assigned,C1,2,P00017,,
136.627,board,C1,2,P00017,,1.0
144.427,alight,C1,1,P00017,,0.0
162.84,hall_call_assigned,C1,5,P00018,,
165.949,hall_call_assigned,C2,5,P00019,,
166.75,hall_call_assigned,C1,7,P00020,,
175.34,board,C1,5,P00018,,1.0
178.449,board,C2,5,P00019,,1.0
185.04,board,C1,7,P00020,,2.0
188.356,hall_call_assigned,C3,5,P00021,,
189.352,hall_call_assigned,C1,6,P00022,,
192.582,hall_call_assigned,C3,2,P00023,,
193.458,hall_call_assigned,C2,2,P00024,,
193.749,alight,C2,1,P00019,,0.0
200.249,board,C2,2,P00024,,1.0
200.856,board,C3,5,P00021,,1.0
205.93999999999997,alight,C1,1,P00018,,1.0
205.93999999999997,alight,C1,1,P00020,,0.0
208.04899999999998,alight,C2,1,P00024,,0.0
213.05599999999998,board,C3,2,P00023,,2.0
214.017,hall_call_assigned,C2,4,P00025,,
214.611,hall_call_assigned,C1,7,P00026,,
217.246,hall_call_assigned,C3,3,P00027,,
219.503,hall_call_assigned,C2,5,P00028,,
221.45599999999996,alight,C3,1,P00021,,1.0
221.45599999999996,alight,C3,1,P00023,,0.0
222.43999999999997,board,C1,6,P00022,,1.0
223.478,hall_call_assigned,C3,2,P00029,,
224.017,board,C2,4,P00025,,1.0
226.771,hall_call_assigned,C1,5,P00030,,
229.63999999999996,board,C1,7,P00026,,2.0
230.45599999999996,board,C3,3,P00027,,1.0
231.21699999999998,board,C2,5,P00028,,2.0
237.65599999999995,board,C3,2,P00029,,2.0
239.402,hall_call_assigned,C1,3,P00031,,
239.33999999999995,board,C1,5,P00030,,3.0
246.05599999999993,alight,C3,1,P00027,,1.0
246.05599999999993,alight,C3,1,P00029,,0.0
247.11699999999996,alight,C2,1,P00025,,1.0
247.11699999999996,alight,C2,1,P00028,,0.0
249.03999999999994,board,C1,3,P00031,,4.0
261.1399999999999,alight,C1,1,P00022,,3.0
261.1399999999999,alight,C1,1,P00026,,2.0
261.1399999999999,alight,C1,1,P00030,,1.0
261.1399999999999,alight,C1,1,P00031,,0.0
261.857,hall_call_assigned,C3,5,P00032,,
265.484,hall_call_assigned,C1,6,P00033,,
274.357,board,C3,5,P00032,,1.0
276.879,hall_call_assigned,C1,2,P00034,,
281.101,hall_call_assigned,C3,7,P00035,,
280.484,board,C1,6,P00033,,1.0
289.65700000000004,alight,C3,1,P00032,,0.0
292.951,hall_call_assigned,C2,8,P00036,,
295.18399999999997,board,C1,2,P00034,,2.0
301.91,hall_call_assigned,C1,7,P00037,,
303.58399999999995,alight,C1,1,P00033,,1.0
303.58399999999995,alight,C1,1,P00034,,0.0
308.65700000000004,board,C3,7,P00035,,1.0
312.951,board,C2,8,P00036,,1.0
315.505,hall_call_assigned,C1,2,P00038,,
315.805,hall_call_assigned,C1,2,P00039,,
322.58399999999995,board,C1,7,P00037,,1.0
326.084,hall_call_assigned,C3,3,P00040,,
328.95700000000005,alight,C3,1,P00035,,0.0
329.838,hall_call_assigned,C1,5,P00041,,
335.75100000000003,alight,C2,1,P00036,,0.0
337.95700000000005,board,C3,3,P00040,,1.0
339.78399999999993,board,C1,2,P00038,,3.0
339.78399999999993,board,C1,2,P00039,,3.0
346.353,hall_call_assigned,C1,2,P00042,,
348.232,hall_call_assigned,C1,3,P00043,,
348.25700000000006,alight,C3,1,P00040,,0.0
349.576,hall_call_assigned,C3,8,P00044,,
352.6839999999999,board,C1,5,P00041,,4.0
354.423,hall_call_assigned,C3,7,P00045,,
358.707,hall_call_assigned,C2,5,P00046,,
365.295,hall_call_assigned,C2,6,P00047,,
364.8839999999999,board,C1,2,P00042,,5.0
369.75700000000006,board,C3,8,P00044,,1.0
371.207,board,C2,5,P00046,,1.0
372.0839999999999,board,C1,3,P00043,,6.0
373.641,hall_call_assigned,C1,3,P00048,,
375.7839999999999,board,C1,3,P00048,,7.0
376.95700000000005,board,C3,7,P00045,,2.0
378.407,board,C2,6,P00047,,2.0
383.737,hall_call_assigned,C1,4,P00049,,
384.513,hall_call_assigned,C2,3,P00050,,
389.68399999999986,alight,C1,1,P00037,,6.0
389.68399999999986,alight,C1,1,P00038,,5.0
389.68399999999986,alight,C1,1,P00039,,4.0
389.68399999999986,alight,C1,1,P00041,,3.0
389.68399999999986,alight,C1,1,P00042,,2.0
389.68399999999986,alight,C1,1,P00043,,1.0
389.68399999999986,alight,C1,1,P00048,,0.0
392.65,hall_call_assigned,C3,3,P00051,,
393.703,hall_call_assigned,C1,2,P00052,,
396.38,hall_call_assigned,C3,4,P00053,,
396.80699999999996,alight,C2,1,P00046,,1.0
396.80699999999996,alight,C2,1,P00047,,0.0
397.746,hall_call_assigned,C2,7,P00054,,
397.857,alight,C3,1,P00044,,1.0
397.857,alight,C3,1,P00045,,0.0
400.195,hall_call_assigned,C1,3,P00055,,
401.18399999999986,board,C1,4,P00049,,1.0
404.85,hall_call_assigned,C1,3,P00056,,
405.672,hall_call_assigned,C3,2,P00057,,
405.80699999999996,board,C2,3,P00050,,1.0
406.857,board,C3,3,P00051,,1.0
407.601,hall_call_assigned,C3,4,P00058,,
409.691,hall_call_assigned,C2,2,P00059,,
408.38399999999984,board,C1,3,P00055,,3.0
408.38399999999984,board,C1,3,P00056,,3.0
414.057,board,C3,4,P00053,,3.0
414.057,board,C3,4,P00058,,3.0
416.625,hall_call_assigned,C3,4,P00060,,
418.457,board,C3,4,P00060,,4.0
419.2839999999998,board,C1,2,P00052,,4.0
420.50699999999995,board,C2,7,P00054,,2.0
421.547,hall_call_assigned,C1,8,P00061,,
421.987,hall_call_assigned,C3,3,P00062,,
428.157,board,C3,2,P00057,,5.0
428.8839999999998,alight,C1,1,P00049,,3.0
428.8839999999998,alight,C1,1,P00055,,2.0
428.8839999999998,alight,C1,1,P00056,,1.0
428.8839999999998,alight,C1,1,P00052,,0.0
433.442,hall_call_assigned,C3,8,P00063,,
435.35699999999997,board,C3,3,P00062,,6.0
437.70699999999994,board,C2,2,P00059,,3.0
441.322,hall_call_assigned,C3,6,P00064,,
445.818,hall_call_assigned,C3,6,P00065,,
446.70699999999994,alight,C2,1,P00050,,2.0
446.70699999999994,alight,C2,1,P00054,,1.0
446.70699999999994,alight,C2,1,P00059,,0.0
450.3839999999998,board,C1,8,P00061,,1.0
452.55699999999996,board,C3,8,P00063,,7.0
462.25699999999995,board,C3,6,P00064,,9.0
462.25699999999995,board,C3,6,P00065,,9.0
473.1839999999998,alight,C1,1,P00061,,0.0
476.856,hall_call_assigned,C1,3,P00066,,
484.356,board,C1,3,P00066,,1.0
485.5569999999999,alight,C3,1,P00051,,8.0
485.5569999999999,alight,C3,1,P00053,,7.0
485.5569999999999,alight,C3,1,P00058,,6.0
485.5569999999999,alight,C3,1,P00060,,5.0
485.5569999999999,alight,C3,1,P00057,,4.0
485.5569999999999,alight,C3,1,P00062,,3.0
